,Ti,Al,Mn,Nb,Cr,Mo,V,Zr,Hf,O,Ta,Si,W,C,B,Fe,Ru,Ni,Y,Re,TestT,logYS,logTS,logEl,logHV,logCost
78,47.8,44.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.826722520168992,2.8750612633917,-0.0969100130080563,,1.459185658703545
79,47.8,44.0,0.0,4.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.851258348719075,2.878521795501206,-0.5228787452803376,,2.48093530403448
80,47.8,44.0,0.0,4.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.808210972924222,2.836956737059551,-0.3979400086720376,,2.48093530403448
81,47.0,44.0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,298,2.790285164033242,2.838849090737255,-0.0969100130080563,,1.000386078907255
82,47.0,44.0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,298,2.865103974641128,2.912222056532416,0.2304489213782739,,1.000386078907255
83,46.8,44.0,0.0,4.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,298,2.808885867359812,2.848189116991399,-0.3010299956639812,,1.067165316034902
84,46.8,44.0,0.0,4.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,298,2.864511081058392,2.877946951629188,-0.2218487496163564,,1.067165316034902
85,50.8,44.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,298,2.789580712164426,2.825426117767823,-0.3979400086720376,,1.0128301497521
86,50.8,44.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,298,2.827369273053825,2.88309335857569,0.041392685158225,,1.0128301497521
87,50.5,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0,0.0,0.0,298,2.593286067020457,2.608526033577194,0.146128035678238,,1.52468394427261
88,50.5,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0,0.0,0.0,1033,2.505149978319906,2.672097857935718,1.03342375548695,,1.52468394427261
89,50.66,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.14,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,0.0,298,2.690196080028514,2.7699999809265137,0.20999999344348907,,1.524078422800429
90,50.66,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.14,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,0.0,298,2.681241237375587,2.724275869600789,0.1760912590556812,,1.524078422800429
91,50.66,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.14,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,0.0,1088,2.556302500767287,2.653212513775344,2.857332496431269,,1.524078422800429
92,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.519827993775719,2.615950051656401,0.3617278360175928,,0.5880816442686724
93,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1033,2.491361693834273,2.633468455579587,1.0800000429153442,,0.5880816442686724
94,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.681241237375587,2.759999990463257,0.2552725051033061,,0.5880816442686724
95,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1033,2.607455023214669,2.7100000381469727,1.332438459915605,,0.5880816442686724
96,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1143,2.544068044350276,2.6600000858306885,1.556302500767287,,0.5880816442686724
97,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.707570176097936,2.775974331129369,0.4623979978989561,,0.5880816442686724
98,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,973,2.624282095835668,2.741151598851785,0.7160033436347992,,0.5880816442686724
99,45.0,47.0,0.0,6.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.681241237375587,2.738780558484369,0.1903316981702915,,1.494692481658843
100,45.0,47.0,0.0,6.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,873,2.583198773968623,2.705007959333336,0.4913616938342727,,1.494692481658843
